AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
293.00,66.00,1.00,30.00,29.00,14.00,1.00,293.00,66.00,1.00,30.00,29.00,14.00,446.00,33.00,20.00,
315.00,81.00,7.00,24.00,38.00,39.00,14.00,3449.00,835.00,69.00,321.00,414.00,375.00,632.00,43.00,10.00,475.00
479.00,130.00,18.00,66.00,72.00,76.00,3.00,1624.00,457.00,63.00,224.00,266.00,263.00,880.00,82.00,14.00,480.00
496.00,141.00,20.00,65.00,78.00,37.00,11.00,5628.00,1575.00,225.00,828.00,838.00,354.00,200.00,11.00,3.00,500.00
321.00,87.00,10.00,39.00,42.00,30.00,2.00,396.00,101.00,12.00,48.00,46.00,33.00,805.00,40.00,4.00,91.50
594.00,169.00,4.00,74.00,51.00,35.00,11.00,4408.00,1133.00,19.00,501.00,336.00,194.00,282.00,421.00,25.00,750.00
185.00,37.00,1.00,23.00,8.00,21.00,2.00,214.00,42.00,1.00,30.00,9.00,24.00,76.00,127.00,7.00,70.00
298.00,73.00,0.00,24.00,24.00,7.00,3.00,509.00,108.00,0.00,41.00,37.00,12.00,121.00,283.00,9.00,100.00
323.00,81.00,6.00,26.00,32.00,8.00,2.00,341.00,86.00,6.00,32.00,34.00,8.00,143.00,290.00,19.00,75.00
401.00,92.00,17.00,49.00,66.00,65.00,13.00,5206.00,1332.00,253.00,784.00,890.00,866.00,0.00,0.00,0.00,1100.00
574.00,159.00,21.00,107.00,75.00,59.00,10.00,4631.00,1300.00,90.00,702.00,504.00,488.00,238.00,445.00,22.00,517.14
202.00,53.00,4.00,31.00,26.00,27.00,9.00,1876.00,467.00,15.00,192.00,186.00,161.00,304.00,45.00,11.00,512.50
418.00,113.00,13.00,48.00,61.00,47.00,4.00,1512.00,392.00,41.00,205.00,204.00,203.00,211.00,11.00,7.00,550.00
239.00,60.00,0.00,30.00,11.00,22.00,6.00,1941.00,510.00,4.00,309.00,103.00,207.00,121.00,151.00,6.00,700.00
196.00,43.00,7.00,29.00,27.00,30.00,13.00,3231.00,825.00,36.00,376.00,290.00,238.00,80.00,45.00,8.00,240.00
183.00,39.00,3.00,20.00,15.00,11.00,3.00,201.00,42.00,3.00,20.00,16.00,11.00,118.00,0.00,0.00,
568.00,158.00,20.00,89.00,75.00,73.00,15.00,8068.00,2273.00,177.00,1045.00,993.00,732.00,105.00,290.00,10.00,775.00
190.00,46.00,2.00,24.00,8.00,15.00,5.00,479.00,102.00,5.00,65.00,23.00,39.00,102.00,177.00,16.00,175.00
407.00,104.00,6.00,57.00,43.00,65.00,12.00,5233.00,1478.00,100.00,643.00,658.00,653.00,912.00,88.00,9.00,
127.00,32.00,8.00,16.00,22.00,14.00,8.00,727.00,180.00,24.00,67.00,82.00,56.00,202.00,22.00,2.00,135.00
413.00,92.00,16.00,72.00,48.00,65.00,1.00,413.00,92.00,16.00,72.00,48.00,65.00,280.00,9.00,5.00,100.00
426.00,109.00,3.00,55.00,43.00,62.00,1.00,426.00,109.00,3.00,55.00,43.00,62.00,361.00,22.00,2.00,115.00
22.00,10.00,1.00,4.00,2.00,1.00,6.00,84.00,26.00,2.00,9.00,9.00,3.00,812.00,84.00,11.00,
472.00,116.00,16.00,60.00,62.00,74.00,6.00,1924.00,489.00,67.00,242.00,251.00,240.00,518.00,55.00,3.00,600.00
629.00,168.00,18.00,73.00,102.00,40.00,18.00,8424.00,2464.00,164.00,1008.00,1072.00,402.00,1067.00,157.00,14.00,776.67
587.00,163.00,4.00,92.00,51.00,70.00,6.00,2695.00,747.00,17.00,442.00,198.00,317.00,434.00,9.00,3.00,765.00
324.00,73.00,4.00,32.00,18.00,22.00,7.00,1931.00,491.00,13.00,291.00,108.00,180.00,222.00,3.00,3.00,708.33
474.00,129.00,10.00,50.00,56.00,40.00,10.00,2331.00,604.00,61.00,246.00,327.00,166.00,732.00,83.00,13.00,750.00
550.00,152.00,6.00,92.00,37.00,81.00,5.00,2308.00,633.00,32.00,349.00,182.00,308.00,262.00,329.00,16.00,625.00
513.00,137.00,20.00,90.00,95.00,90.00,14.00,5201.00,1382.00,166.00,763.00,734.00,784.00,267.00,5.00,3.00,900.00
313.00,84.00,9.00,42.00,30.00,39.00,17.00,6890.00,1833.00,224.00,1033.00,864.00,1087.00,127.00,221.00,7.00,
419.00,108.00,6.00,55.00,36.00,22.00,3.00,591.00,149.00,8.00,80.00,46.00,31.00,226.00,7.00,4.00,110.00
517.00,141.00,27.00,70.00,87.00,52.00,9.00,3571.00,994.00,215.00,545.00,652.00,337.00,1378.00,102.00,8.00,
583.00,168.00,17.00,83.00,80.00,56.00,5.00,1646.00,452.00,44.00,219.00,208.00,136.00,109.00,292.00,25.00,612.50
204.00,49.00,6.00,23.00,25.00,12.00,7.00,1309.00,308.00,27.00,126.00,132.00,66.00,419.00,46.00,5.00,300.00
379.00,106.00,10.00,38.00,60.00,30.00,14.00,6207.00,1906.00,146.00,859.00,803.00,571.00,72.00,170.00,24.00,850.00
161.00,36.00,0.00,19.00,10.00,17.00,4.00,1053.00,244.00,3.00,156.00,86.00,107.00,70.00,149.00,12.00,
268.00,60.00,5.00,24.00,25.00,15.00,2.00,350.00,78.00,5.00,34.00,29.00,18.00,442.00,59.00,6.00,90.00
346.00,98.00,5.00,31.00,53.00,30.00,16.00,5913.00,1615.00,235.00,784.00,901.00,560.00,0.00,0.00,0.00,
241.00,61.00,1.00,34.00,12.00,14.00,1.00,241.00,61.00,1.00,34.00,12.00,14.00,166.00,172.00,10.00,
181.00,41.00,1.00,15.00,21.00,33.00,2.00,232.00,50.00,4.00,20.00,29.00,45.00,326.00,29.00,5.00,67.50
216.00,54.00,0.00,21.00,18.00,15.00,18.00,7318.00,1926.00,46.00,796.00,627.00,483.00,103.00,84.00,5.00,
200.00,57.00,6.00,23.00,14.00,14.00,9.00,2516.00,684.00,46.00,371.00,230.00,195.00,69.00,1.00,1.00,
217.00,46.00,7.00,32.00,19.00,9.00,4.00,694.00,160.00,32.00,86.00,76.00,32.00,307.00,25.00,1.00,180.00
194.00,40.00,7.00,19.00,29.00,30.00,11.00,4183.00,1069.00,64.00,486.00,493.00,608.00,325.00,22.00,2.00,
254.00,68.00,2.00,28.00,26.00,22.00,6.00,999.00,236.00,21.00,108.00,117.00,118.00,359.00,30.00,4.00,305.00
416.00,132.00,7.00,57.00,49.00,33.00,3.00,932.00,273.00,24.00,113.00,121.00,80.00,73.00,177.00,18.00,215.00
205.00,57.00,8.00,34.00,32.00,9.00,5.00,756.00,192.00,32.00,117.00,107.00,51.00,58.00,4.00,4.00,247.50
542.00,140.00,12.00,46.00,75.00,41.00,16.00,7099.00,2130.00,235.00,987.00,1089.00,431.00,697.00,61.00,9.00,
526.00,146.00,13.00,71.00,70.00,84.00,6.00,2648.00,715.00,77.00,352.00,342.00,289.00,303.00,9.00,9.00,815.00
457.00,101.00,14.00,42.00,63.00,22.00,17.00,6521.00,1767.00,281.00,1003.00,977.00,619.00,389.00,39.00,4.00,875.00
214.00,53.00,2.00,30.00,29.00,23.00,2.00,226.00,59.00,2.00,32.00,32.00,27.00,109.00,7.00,3.00,70.00
19.00,7.00,0.00,1.00,2.00,1.00,4.00,41.00,13.00,1.00,3.00,4.00,4.00,0.00,0.00,0.00,
591.00,168.00,19.00,80.00,72.00,39.00,9.00,4478.00,1307.00,113.00,634.00,563.00,319.00,67.00,147.00,4.00,1200.00
403.00,101.00,12.00,45.00,53.00,39.00,12.00,5150.00,1429.00,166.00,747.00,666.00,526.00,316.00,6.00,5.00,675.00
405.00,102.00,18.00,49.00,85.00,20.00,6.00,950.00,231.00,29.00,99.00,138.00,64.00,161.00,10.00,3.00,415.00
244.00,58.00,9.00,28.00,25.00,35.00,4.00,1335.00,333.00,49.00,164.00,179.00,194.00,142.00,14.00,2.00,340.00
235.00,61.00,3.00,24.00,39.00,21.00,14.00,3926.00,1029.00,35.00,441.00,401.00,333.00,425.00,43.00,4.00,
313.00,78.00,6.00,32.00,41.00,12.00,12.00,3742.00,968.00,35.00,409.00,321.00,170.00,106.00,206.00,7.00,416.67
627.00,177.00,25.00,98.00,81.00,70.00,6.00,3210.00,927.00,133.00,529.00,472.00,313.00,240.00,482.00,13.00,1350.00
416.00,113.00,24.00,58.00,69.00,16.00,1.00,416.00,113.00,24.00,58.00,69.00,16.00,203.00,70.00,10.00,90.00
155.00,44.00,6.00,21.00,23.00,15.00,16.00,6631.00,1634.00,98.00,698.00,661.00,777.00,53.00,88.00,3.00,275.00
236.00,56.00,0.00,27.00,15.00,11.00,4.00,1115.00,270.00,1.00,116.00,64.00,57.00,125.00,199.00,13.00,230.00
216.00,53.00,1.00,31.00,15.00,22.00,4.00,926.00,210.00,9.00,118.00,69.00,114.00,73.00,152.00,11.00,225.00
24.00,3.00,0.00,1.00,0.00,2.00,3.00,159.00,28.00,0.00,20.00,12.00,9.00,80.00,4.00,0.00,
585.00,139.00,31.00,93.00,94.00,62.00,17.00,7546.00,1982.00,315.00,1141.00,1179.00,727.00,0.00,0.00,0.00,950.00
191.00,37.00,4.00,12.00,17.00,14.00,4.00,773.00,163.00,16.00,61.00,74.00,52.00,391.00,38.00,8.00,
199.00,53.00,5.00,29.00,22.00,21.00,3.00,514.00,120.00,8.00,57.00,40.00,39.00,152.00,3.00,5.00,75.00
521.00,142.00,20.00,67.00,86.00,45.00,4.00,815.00,205.00,22.00,99.00,103.00,78.00,107.00,242.00,23.00,105.00
419.00,113.00,1.00,44.00,27.00,44.00,12.00,4484.00,1231.00,32.00,612.00,344.00,422.00,211.00,2.00,1.00,
311.00,81.00,3.00,42.00,30.00,26.00,17.00,8247.00,2198.00,100.00,950.00,909.00,690.00,153.00,223.00,10.00,320.00
138.00,31.00,8.00,18.00,21.00,38.00,3.00,244.00,53.00,12.00,33.00,32.00,55.00,244.00,21.00,4.00,
512.00,131.00,26.00,69.00,96.00,52.00,14.00,5347.00,1397.00,221.00,712.00,815.00,548.00,119.00,216.00,12.00,850.00
507.00,122.00,29.00,78.00,85.00,91.00,18.00,7761.00,1947.00,347.00,1175.00,1152.00,1380.00,808.00,108.00,2.00,535.00
529.00,137.00,26.00,86.00,97.00,97.00,15.00,6661.00,1785.00,291.00,1082.00,949.00,989.00,280.00,10.00,5.00,933.33
424.00,119.00,6.00,57.00,46.00,13.00,9.00,3651.00,1046.00,32.00,461.00,301.00,112.00,224.00,286.00,8.00,850.00
351.00,97.00,4.00,55.00,29.00,39.00,4.00,1258.00,353.00,16.00,196.00,110.00,117.00,226.00,7.00,3.00,210.00
195.00,55.00,5.00,24.00,33.00,30.00,8.00,1313.00,338.00,25.00,144.00,149.00,153.00,83.00,2.00,1.00,
388.00,103.00,15.00,59.00,47.00,39.00,6.00,2174.00,555.00,80.00,285.00,274.00,186.00,182.00,9.00,4.00,325.00
339.00,96.00,4.00,37.00,29.00,23.00,4.00,1064.00,290.00,11.00,123.00,108.00,55.00,104.00,213.00,9.00,275.00
561.00,118.00,35.00,70.00,94.00,33.00,16.00,6677.00,1575.00,442.00,901.00,1210.00,608.00,463.00,32.00,8.00,
255.00,70.00,7.00,49.00,35.00,43.00,15.00,6311.00,1661.00,154.00,1019.00,608.00,820.00,51.00,54.00,8.00,450.00
677.00,238.00,31.00,117.00,113.00,53.00,5.00,2223.00,737.00,93.00,349.00,401.00,171.00,1377.00,100.00,6.00,1975.00
227.00,46.00,7.00,23.00,20.00,12.00,5.00,1325.00,324.00,44.00,156.00,158.00,67.00,92.00,2.00,2.00,
614.00,163.00,29.00,89.00,83.00,75.00,11.00,5017.00,1388.00,266.00,813.00,822.00,617.00,303.00,6.00,6.00,1900.00
329.00,83.00,9.00,50.00,39.00,56.00,9.00,3828.00,948.00,145.00,575.00,528.00,635.00,276.00,6.00,2.00,600.00
637.00,174.00,31.00,89.00,116.00,56.00,14.00,6727.00,2024.00,247.00,978.00,1093.00,495.00,278.00,9.00,9.00,1041.67
280.00,82.00,16.00,44.00,45.00,47.00,2.00,428.00,113.00,25.00,61.00,70.00,63.00,148.00,4.00,2.00,110.00
155.00,41.00,12.00,21.00,29.00,22.00,16.00,5409.00,1338.00,181.00,746.00,805.00,875.00,165.00,9.00,1.00,260.00
458.00,114.00,13.00,67.00,57.00,48.00,4.00,1350.00,298.00,28.00,160.00,123.00,122.00,246.00,389.00,18.00,475.00
314.00,83.00,13.00,39.00,46.00,16.00,5.00,1457.00,405.00,28.00,156.00,159.00,76.00,533.00,40.00,4.00,431.50
475.00,123.00,27.00,76.00,93.00,72.00,4.00,1810.00,471.00,108.00,292.00,343.00,267.00,226.00,10.00,6.00,1220.00
317.00,78.00,7.00,35.00,35.00,32.00,1.00,317.00,78.00,7.00,35.00,35.00,32.00,45.00,122.00,26.00,70.00
511.00,138.00,25.00,76.00,96.00,61.00,3.00,592.00,164.00,28.00,87.00,110.00,71.00,157.00,7.00,8.00,145.00
278.00,69.00,3.00,24.00,21.00,29.00,8.00,2079.00,565.00,32.00,258.00,192.00,162.00,142.00,210.00,10.00,
382.00,119.00,13.00,54.00,58.00,36.00,12.00,2133.00,594.00,41.00,287.00,294.00,227.00,59.00,156.00,9.00,595.00
565.00,148.00,24.00,90.00,104.00,77.00,14.00,7287.00,2083.00,305.00,1135.00,1234.00,791.00,292.00,9.00,5.00,1861.46
277.00,71.00,2.00,27.00,29.00,14.00,15.00,5952.00,1647.00,60.00,753.00,596.00,259.00,360.00,32.00,5.00,
415.00,115.00,27.00,97.00,71.00,68.00,3.00,711.00,184.00,45.00,156.00,119.00,99.00,274.00,2.00,7.00,300.00
424.00,110.00,15.00,70.00,47.00,36.00,7.00,2130.00,544.00,38.00,335.00,174.00,258.00,292.00,6.00,3.00,490.00
495.00,151.00,17.00,61.00,84.00,78.00,10.00,5624.00,1679.00,275.00,884.00,1015.00,709.00,1045.00,88.00,13.00,2460.00
524.00,132.00,9.00,69.00,47.00,54.00,2.00,972.00,260.00,14.00,123.00,92.00,90.00,212.00,327.00,20.00,
233.00,49.00,2.00,41.00,23.00,18.00,8.00,1350.00,336.00,7.00,166.00,122.00,106.00,102.00,132.00,10.00,375.00
395.00,106.00,16.00,48.00,56.00,35.00,10.00,2303.00,571.00,86.00,266.00,323.00,248.00,709.00,41.00,7.00,
397.00,114.00,23.00,67.00,67.00,53.00,13.00,5589.00,1632.00,241.00,906.00,926.00,716.00,244.00,2.00,4.00,
210.00,37.00,8.00,15.00,19.00,15.00,6.00,994.00,244.00,36.00,107.00,114.00,53.00,40.00,115.00,15.00,
420.00,95.00,23.00,55.00,58.00,37.00,3.00,646.00,139.00,31.00,77.00,77.00,61.00,206.00,10.00,7.00,
566.00,154.00,22.00,76.00,84.00,43.00,14.00,6100.00,1583.00,131.00,743.00,693.00,300.00,316.00,439.00,10.00,750.00
641.00,198.00,31.00,101.00,108.00,41.00,5.00,2129.00,610.00,92.00,297.00,319.00,117.00,269.00,17.00,10.00,1175.00
215.00,51.00,4.00,19.00,18.00,11.00,1.00,215.00,51.00,4.00,19.00,18.00,11.00,116.00,5.00,12.00,70.00
441.00,128.00,16.00,70.00,73.00,80.00,14.00,6675.00,2095.00,209.00,1072.00,1050.00,695.00,97.00,218.00,16.00,1500.00
325.00,76.00,16.00,33.00,52.00,37.00,5.00,1506.00,351.00,71.00,195.00,219.00,214.00,726.00,87.00,3.00,385.00
490.00,125.00,24.00,81.00,105.00,62.00,13.00,6063.00,1646.00,271.00,847.00,999.00,680.00,869.00,62.00,8.00,1925.57
574.00,152.00,31.00,91.00,101.00,64.00,3.00,985.00,260.00,53.00,148.00,173.00,95.00,1253.00,111.00,11.00,215.00
284.00,64.00,14.00,30.00,42.00,24.00,18.00,7023.00,1925.00,348.00,986.00,1239.00,666.00,96.00,4.00,4.00,
596.00,171.00,34.00,91.00,108.00,52.00,6.00,2862.00,728.00,107.00,361.00,401.00,224.00,118.00,334.00,21.00,900.00
472.00,118.00,12.00,63.00,54.00,30.00,4.00,793.00,187.00,14.00,102.00,80.00,50.00,228.00,377.00,26.00,155.00
283.00,77.00,14.00,45.00,47.00,26.00,16.00,6840.00,1910.00,259.00,915.00,1067.00,546.00,144.00,6.00,5.00,700.00
408.00,94.00,4.00,42.00,36.00,66.00,9.00,3573.00,866.00,59.00,429.00,365.00,410.00,282.00,487.00,19.00,535.00
327.00,85.00,3.00,30.00,44.00,20.00,8.00,2140.00,568.00,16.00,216.00,208.00,93.00,91.00,185.00,12.00,362.50
370.00,96.00,21.00,49.00,46.00,60.00,15.00,6986.00,1972.00,231.00,1070.00,955.00,921.00,137.00,5.00,9.00,733.33
354.00,77.00,16.00,36.00,55.00,41.00,20.00,8716.00,2172.00,384.00,1172.00,1267.00,1057.00,83.00,174.00,16.00,200.00
539.00,139.00,5.00,93.00,58.00,69.00,5.00,1469.00,369.00,12.00,247.00,126.00,198.00,462.00,9.00,7.00,400.00
340.00,84.00,11.00,62.00,33.00,47.00,5.00,1516.00,376.00,42.00,284.00,141.00,219.00,185.00,8.00,4.00,400.00
510.00,126.00,2.00,42.00,44.00,35.00,11.00,5562.00,1578.00,44.00,703.00,519.00,256.00,207.00,358.00,20.00,737.50
315.00,59.00,16.00,45.00,36.00,58.00,13.00,4677.00,1051.00,268.00,681.00,782.00,697.00,0.00,0.00,0.00,
282.00,78.00,13.00,37.00,51.00,29.00,5.00,1649.00,453.00,73.00,211.00,280.00,138.00,670.00,57.00,5.00,500.00
380.00,120.00,5.00,54.00,51.00,31.00,8.00,3118.00,900.00,92.00,444.00,419.00,240.00,237.00,8.00,1.00,600.00
584.00,158.00,15.00,70.00,84.00,42.00,5.00,2358.00,636.00,58.00,265.00,316.00,134.00,331.00,20.00,4.00,662.50
570.00,169.00,21.00,72.00,88.00,38.00,7.00,3754.00,1077.00,140.00,492.00,589.00,263.00,295.00,15.00,5.00,950.00
306.00,104.00,14.00,50.00,58.00,25.00,7.00,2954.00,822.00,55.00,313.00,377.00,187.00,116.00,222.00,15.00,750.00
220.00,54.00,10.00,30.00,39.00,31.00,5.00,1185.00,299.00,40.00,145.00,154.00,128.00,50.00,136.00,20.00,297.50
278.00,70.00,7.00,22.00,37.00,18.00,18.00,7186.00,2081.00,190.00,935.00,1088.00,643.00,0.00,0.00,0.00,325.00
445.00,99.00,1.00,46.00,24.00,29.00,4.00,618.00,129.00,1.00,72.00,31.00,48.00,278.00,415.00,16.00,87.50
143.00,39.00,5.00,18.00,30.00,15.00,9.00,639.00,151.00,16.00,80.00,97.00,61.00,138.00,15.00,1.00,175.00
185.00,40.00,4.00,23.00,11.00,18.00,3.00,524.00,125.00,7.00,58.00,37.00,47.00,97.00,2.00,2.00,90.00
589.00,170.00,40.00,107.00,108.00,69.00,6.00,2325.00,634.00,128.00,371.00,376.00,238.00,368.00,20.00,3.00,1237.50
343.00,103.00,6.00,48.00,36.00,40.00,15.00,4338.00,1193.00,70.00,581.00,421.00,325.00,211.00,56.00,13.00,430.00
284.00,69.00,1.00,33.00,18.00,25.00,5.00,1407.00,361.00,6.00,139.00,98.00,111.00,122.00,140.00,5.00,
438.00,103.00,2.00,65.00,32.00,71.00,2.00,440.00,103.00,2.00,67.00,32.00,71.00,276.00,7.00,9.00,100.00
600.00,144.00,33.00,85.00,117.00,65.00,2.00,696.00,173.00,38.00,101.00,130.00,69.00,319.00,4.00,14.00,165.00
663.00,200.00,29.00,108.00,121.00,32.00,4.00,1447.00,404.00,57.00,210.00,222.00,68.00,241.00,8.00,6.00,250.00
232.00,55.00,9.00,34.00,23.00,45.00,12.00,4405.00,1213.00,194.00,702.00,705.00,625.00,623.00,35.00,3.00,1300.00
479.00,133.00,10.00,48.00,72.00,55.00,17.00,7472.00,2147.00,153.00,980.00,1032.00,854.00,237.00,5.00,4.00,773.33
209.00,45.00,0.00,38.00,19.00,42.00,10.00,3859.00,916.00,23.00,557.00,279.00,478.00,132.00,205.00,5.00,
528.00,132.00,21.00,61.00,74.00,41.00,6.00,2641.00,671.00,97.00,273.00,383.00,226.00,885.00,105.00,8.00,1008.33
160.00,39.00,8.00,18.00,31.00,22.00,14.00,2128.00,543.00,56.00,304.00,268.00,298.00,33.00,3.00,0.00,275.00
599.00,183.00,10.00,80.00,74.00,32.00,5.00,2482.00,715.00,27.00,330.00,326.00,158.00,231.00,374.00,18.00,775.00
497.00,136.00,7.00,58.00,38.00,26.00,11.00,3871.00,1066.00,40.00,450.00,367.00,241.00,304.00,347.00,10.00,850.00
210.00,70.00,13.00,32.00,51.00,28.00,15.00,4040.00,1130.00,97.00,544.00,462.00,551.00,0.00,0.00,0.00,365.00
225.00,61.00,5.00,32.00,26.00,26.00,11.00,1568.00,408.00,25.00,202.00,185.00,257.00,132.00,9.00,0.00,
151.00,41.00,4.00,26.00,21.00,19.00,2.00,288.00,68.00,9.00,45.00,39.00,35.00,28.00,56.00,2.00,95.00
278.00,86.00,4.00,33.00,38.00,45.00,1.00,278.00,86.00,4.00,33.00,38.00,45.00,102.00,4.00,2.00,110.00
341.00,95.00,6.00,48.00,42.00,20.00,10.00,2964.00,808.00,81.00,379.00,428.00,221.00,158.00,4.00,5.00,100.00
537.00,147.00,23.00,58.00,88.00,47.00,10.00,2744.00,730.00,97.00,302.00,351.00,174.00,92.00,257.00,20.00,277.50
399.00,102.00,3.00,56.00,34.00,34.00,5.00,670.00,167.00,4.00,89.00,48.00,54.00,211.00,9.00,3.00,80.00
309.00,94.00,5.00,37.00,32.00,26.00,13.00,4618.00,1330.00,57.00,616.00,522.00,436.00,161.00,3.00,3.00,600.00
401.00,100.00,2.00,60.00,19.00,28.00,4.00,876.00,238.00,2.00,126.00,44.00,55.00,193.00,11.00,4.00,
336.00,93.00,9.00,35.00,46.00,23.00,15.00,5779.00,1610.00,128.00,730.00,741.00,497.00,0.00,0.00,0.00,
616.00,163.00,27.00,83.00,107.00,32.00,3.00,1437.00,377.00,65.00,181.00,227.00,82.00,110.00,308.00,15.00,200.00
