biden,female,age,educ,dem,rep
90,0,19,12,1,0
70,1,51,14,1,0
60,0,27,14,0,0
50,1,43,14,1,0
60,1,38,14,0,1
85,1,27,16,1,0
60,1,28,12,0,0
50,0,31,15,1,0
50,1,32,13,0,0
70,0,51,14,1,0
50,0,26,12,0,0
70,1,48,12,1,0
60,0,59,11,0,0
30,0,20,14,0,0
50,0,31,15,0,0
85,0,49,11,0,0
70,0,18,12,0,1
85,0,69,10,1,0
70,1,37,14,0,0
60,0,63,11,1,0
50,1,19,13,0,1
85,0,52,11,0,0
85,1,53,17,1,0
50,0,20,13,0,0
85,0,60,17,0,0
0,1,70,12,0,1
50,0,18,11,0,0
85,1,26,12,1,0
60,1,26,12,0,0
60,1,37,12,1,0
60,0,41,12,0,1
0,0,45,12,0,1
30,1,30,11,0,0
50,0,45,9,0,0
70,1,64,13,0,0
85,0,41,11,0,0
40,0,31,13,0,0
50,0,20,13,0,0
60,0,33,11,1,0
85,1,30,13,1,0
50,1,26,13,0,0
50,1,47,14,1,0
40,1,24,14,0,0
60,0,34,12,0,0
15,0,37,16,0,0
85,1,52,12,1,0
100,1,19,13,1,0
70,0,80,17,0,0
70,1,26,9,1,0
50,0,43,12,0,0
40,0,23,13,0,0
85,0,38,11,0,0
50,1,33,16,0,0
40,0,18,12,1,0
50,0,54,12,0,0
50,1,35,12,0,0
50,0,34,13,0,1
70,1,40,14,1,0
50,0,18,12,1,0
50,0,51,12,0,1
60,1,51,14,0,0
70,1,23,12,1,0
85,1,28,15,0,0
100,1,36,9,0,0
50,0,50,10,0,0
85,0,46,12,0,0
85,0,20,11,1,0
90,1,74,10,0,0
60,0,43,14,1,0
30,1,37,17,0,1
0,0,40,14,0,0
15,0,33,12,1,0
85,0,20,12,1,0
100,1,67,8,1,0
50,0,21,12,0,0
15,0,44,12,0,1
60,1,21,13,0,0
50,0,30,11,0,0
70,1,23,11,0,0
60,0,51,8,0,0
50,0,30,16,0,1
60,0,43,13,0,1
60,1,28,14,1,0
50,0,29,14,0,0
50,0,48,12,1,0
100,1,29,12,1,0
70,0,24,10,1,0
50,0,35,13,0,0
50,0,54,11,0,1
100,1,26,12,1,0
85,0,59,12,0,0
50,1,20,12,0,0
85,1,37,12,0,0
50,0,61,10,1,0
70,1,41,15,0,0
50,0,25,12,1,0
60,0,26,12,1,0
85,1,19,12,1,0
50,0,21,12,0,0
70,1,44,7,1,0
50,0,36,12,0,0
100,0,63,16,0,0
50,0,62,12,0,1
85,1,22,12,1,0
50,1,67,12,0,0
100,1,21,12,1,0
40,0,54,11,1,0
50,0,43,12,0,0
100,0,69,12,1,0
85,1,65,11,1,0
60,0,40,12,1,0
85,1,28,10,1,0
85,0,34,12,1,0
40,0,25,14,0,1
50,1,28,11,0,0
70,0,32,10,1,0
50,0,29,17,0,0
60,1,28,15,0,0
30,1,45,17,0,1
50,1,21,12,0,0
50,0,18,12,0,0
85,0,72,12,1,0
50,1,57,12,0,0
70,1,57,11,1,0
50,1,37,14,0,0
50,0,19,14,0,0
15,0,62,8,0,1
15,0,28,12,0,0
100,0,46,12,1,0
85,0,38,10,0,0
50,0,38,17,0,1
85,1,62,8,1,0
100,1,44,8,0,0
60,0,31,13,0,1
50,1,52,12,0,1
60,1,29,12,0,0
15,1,20,13,0,0
40,1,41,12,0,0
50,0,50,12,0,0
85,1,43,13,1,0
70,0,26,11,0,0
85,1,64,9,0,0
30,0,39,12,0,0
70,1,38,12,0,0
60,1,51,12,1,0
60,0,73,12,1,0
40,0,18,11,1,0
85,1,53,9,0,0
50,0,42,11,1,0
50,0,44,11,0,0
100,1,64,1,1,0
70,0,58,14,0,0
85,0,18,12,1,0
100,0,19,12,0,0
15,0,56,12,0,1
85,1,45,10,0,0
50,1,21,12,0,0
70,1,45,14,1,0
70,1,61,9,0,0
70,1,53,11,0,0
50,1,48,13,1,0
85,1,66,11,1,0
50,1,66,10,0,0
50,0,25,12,0,0
70,1,20,14,1,0
40,1,32,14,0,0
70,1,66,8,0,1
70,1,60,17,0,0
50,1,49,12,1,0
70,0,26,14,0,1
70,1,20,11,0,0
50,1,18,12,1,0
50,0,30,12,0,0
70,0,31,14,0,1
50,0,52,14,1,0
100,1,54,17,1,0
50,1,28,13,0,1
70,0,45,12,0,0
50,1,44,12,1,0
85,0,46,17,0,0
50,0,20,12,0,0
50,0,19,12,0,0
100,1,32,12,0,0
50,0,54,12,0,0
100,0,19,12,1,0
60,0,46,12,0,0
100,1,41,12,1,0
60,0,56,17,0,0
85,1,19,12,1,0
70,1,45,12,1,0
70,1,42,17,0,0
50,0,34,12,0,0
100,0,47,11,1,0
40,1,40,16,1,0
0,1,38,14,1,0
60,0,44,12,0,0
40,1,36,12,0,0
100,0,53,14,0,0
85,1,68,12,1,0
50,0,52,17,0,0
40,0,40,11,0,0
50,0,29,9,0,1
70,1,65,9,0,0
50,1,29,16,1,0
60,0,47,12,0,0
50,0,24,14,0,0
100,1,79,12,1,0
40,0,36,17,0,0
70,1,53,12,0,0
50,0,56,12,1,0
85,0,49,14,1,0
40,1,34,13,0,0
85,1,41,16,1,0
50,1,28,14,1,0
50,0,51,12,0,0
50,0,41,14,1,0
55,0,60,14,1,0
100,1,62,9,1,0
100,0,29,12,1,0
60,1,28,12,0,1
15,0,55,12,0,1
50,0,31,12,1,0
70,1,38,16,1,0
85,1,49,12,0,0
40,0,37,12,0,0
70,0,63,9,1,0
85,1,74,11,1,0
85,0,38,11,0,0
70,0,55,12,0,0
60,0,24,13,0,0
50,0,19,12,0,0
85,0,27,13,1,0
85,0,37,12,1,0
50,0,50,16,0,1
40,0,34,17,1,0
50,0,43,11,0,0
40,1,22,12,0,1
85,1,43,12,0,0
50,1,21,10,0,0
85,1,20,13,0,0
65,0,37,16,0,1
50,1,26,13,0,0
100,0,67,14,1,0
85,0,52,14,1,0
50,0,38,14,0,0
85,1,36,12,1,0
60,1,24,13,1,0
85,1,61,13,1,0
60,1,34,11,0,1
100,1,76,3,1,0
100,1,58,12,1,0
50,1,22,12,0,0
60,1,84,16,0,0
85,0,57,15,1,0
70,1,27,13,1,0
85,1,20,14,0,0
80,1,34,13,1,0
50,0,40,12,0,0
50,1,20,12,0,0
40,0,34,12,0,0
50,0,36,12,0,0
85,1,37,14,0,1
40,1,55,12,0,0
60,1,44,14,1,0
85,1,62,12,1,0
85,1,26,17,1,0
50,1,20,12,0,1
50,1,46,12,0,0
100,1,53,17,1,0
50,1,20,14,0,0
85,1,36,13,1,0
85,1,66,9,0,0
85,1,21,13,1,0
60,1,63,4,0,0
40,0,20,12,1,0
70,0,42,14,0,0
50,0,21,15,0,1
85,0,41,13,0,0
30,0,41,14,1,0
50,0,32,14,0,1
50,1,18,12,0,0
85,0,18,8,1,0
30,0,38,12,0,1
60,1,18,12,0,0
100,1,32,10,0,0
85,1,21,12,0,0
50,1,42,13,1,0
100,0,31,12,1,0
70,0,79,9,1,0
70,0,64,8,1,0
50,1,34,12,0,0
85,1,55,11,1,0
70,1,60,11,0,0
85,1,32,14,0,1
50,1,34,13,0,0
50,1,22,9,0,0
50,0,61,13,0,0
60,1,35,12,0,1
60,1,46,13,0,0
60,1,39,9,0,0
50,1,51,12,0,0
50,0,18,12,0,0
70,1,40,12,0,0
15,0,40,11,0,0
100,1,63,11,0,0
50,0,48,10,0,0
40,0,23,12,0,1
60,1,35,12,0,0
50,0,24,14,0,0
60,1,82,12,1,0
50,0,44,12,0,0
70,0,50,12,0,0
70,0,43,12,1,0
85,0,62,13,1,0
50,1,27,13,1,0
60,0,68,12,0,0
60,0,57,13,1,0
50,1,23,8,0,0
70,1,73,12,0,0
85,1,26,12,1,0
50,1,48,13,1,0
70,1,23,14,0,0
85,0,66,12,1,0
50,0,58,12,1,0
60,0,49,14,1,0
50,0,26,12,0,0
0,0,34,12,0,0
85,0,25,12,0,0
60,0,46,9,1,0
100,1,65,12,1,0
50,1,18,12,0,0
60,1,46,14,0,0
50,0,21,11,0,0
50,1,37,12,0,0
50,1,38,13,0,1
85,0,73,3,0,0
85,0,38,15,0,1
85,0,21,12,1,0
50,1,18,11,0,1
50,0,30,12,0,0
70,0,25,12,1,0
70,0,26,13,1,0
85,1,60,12,1,0
0,0,21,13,0,1
70,1,30,12,1,0
50,1,49,13,0,0
50,0,47,12,0,0
70,1,23,12,0,0
85,1,41,12,0,0
60,0,49,14,0,0
50,0,29,11,0,0
60,1,49,12,1,0
50,1,38,12,1,0
70,0,52,14,0,0
50,0,43,13,0,0
50,0,33,12,1,0
60,0,35,11,0,0
30,1,33,14,0,1
60,1,42,10,1,0
30,1,64,10,1,0
50,0,34,12,0,0
60,1,20,9,0,0
50,1,45,12,0,0
70,1,19,13,0,1
40,0,54,11,0,0
50,0,33,11,0,0
50,1,32,12,0,0
50,1,60,12,0,0
60,0,54,13,0,1
60,1,34,12,1,0
70,0,19,12,1,0
85,1,33,13,1,0
60,1,82,8,0,0
70,1,44,13,1,0
100,1,68,8,0,0
15,1,29,12,0,1
60,1,43,6,0,0
70,1,22,11,0,0
0,0,36,13,0,1
35,0,48,9,0,0
100,1,27,17,1,0
85,0,35,11,0,0
15,1,86,12,0,0
60,1,35,13,1,0
50,0,26,9,1,0
100,0,59,12,0,0
70,1,52,12,1,0
70,0,45,9,0,0
50,1,41,12,1,0
70,0,27,16,0,0
50,1,18,12,0,1
60,1,21,15,1,0
75,0,31,12,1,0
40,0,35,14,0,0
70,1,27,13,0,0
85,0,29,14,0,0
60,0,43,12,0,0
70,0,44,14,0,0
50,1,57,10,0,0
50,1,38,13,0,0
50,1,37,12,0,0
50,0,19,12,0,0
50,0,26,15,0,0
50,1,62,12,1,0
70,1,26,13,0,0
60,1,32,13,1,0
40,0,37,12,0,0
20,1,58,4,0,1
70,1,40,12,0,0
50,1,21,12,1,0
70,0,52,10,0,0
50,1,20,12,1,0
50,0,18,9,0,1
50,1,56,12,0,0
60,0,49,12,0,1
85,1,71,7,0,1
40,0,26,13,0,0
50,0,50,10,0,0
70,0,35,12,0,0
0,0,56,11,0,0
85,1,19,12,0,1
60,1,25,12,0,0
50,1,55,11,0,1
40,0,33,13,0,0
85,1,31,16,0,0
70,1,73,6,1,0
100,1,19,13,1,0
60,1,23,16,0,1
85,0,30,12,0,0
85,1,53,13,1,0
60,0,18,12,1,0
85,0,44,12,1,0
40,0,33,17,0,0
100,1,52,14,1,0
50,0,26,13,0,0
70,1,30,12,1,0
100,1,54,11,1,0
70,0,63,9,0,0
85,1,34,14,1,0
100,0,82,9,1,0
50,0,20,12,0,0
85,1,24,11,1,0
70,1,26,12,1,0
50,1,58,12,0,0
60,0,33,16,0,1
70,0,56,11,0,0
60,0,24,12,0,0
85,0,19,14,1,0
70,0,51,14,0,0
85,1,52,12,1,0
50,0,58,14,0,0
100,1,33,13,1,0
70,1,19,11,1,0
50,1,49,12,1,0
85,1,54,6,1,0
50,1,32,17,0,0
85,0,40,16,1,0
60,0,46,17,0,0
80,0,30,15,1,0
85,1,28,14,1,0
50,1,34,13,1,0
60,1,31,17,0,1
85,1,30,12,1,0
50,1,19,11,0,0
70,1,23,11,1,0
85,0,61,9,1,0
85,1,55,12,1,0
50,1,32,12,0,0
89,0,53,9,1,0
70,1,20,12,0,0
100,1,31,9,1,0
60,0,60,12,1,0
85,1,29,11,1,0
60,0,22,11,0,0
50,0,30,14,0,0
50,1,20,12,0,0
50,0,40,12,0,0
60,0,30,12,0,0
70,0,39,10,0,0
70,0,30,12,0,0
100,0,29,13,1,0
70,0,21,15,1,0
70,1,48,12,1,0
50,1,53,12,1,0
70,1,28,12,0,0
50,1,50,12,1,0
85,1,30,12,0,1
50,1,46,14,1,0
100,1,50,11,0,0
40,1,38,14,0,0
50,0,48,12,1,0
60,0,32,12,0,0
70,0,42,12,1,0
60,1,21,12,0,0
70,0,33,8,0,0
85,1,47,14,1,0
80,1,37,14,0,0
15,0,21,14,0,1
60,1,27,14,1,0
50,0,45,11,0,1
60,0,26,11,0,0
60,0,20,13,0,1
60,0,32,16,0,0
0,0,60,16,0,0
60,0,53,11,1,0
50,1,51,14,0,0
85,0,53,17,1,0
100,1,26,12,0,0
100,0,25,12,1,0
40,0,59,13,0,0
70,0,31,10,0,0
70,0,57,8,0,0
85,0,42,17,1,0
85,0,62,15,1,0
50,1,19,11,0,0
100,1,68,12,1,0
70,1,39,14,0,0
60,0,38,12,0,0
50,1,36,14,0,0
30,0,41,16,0,1
60,0,81,9,1,0
85,1,48,13,1,0
100,1,19,13,0,0
60,0,55,12,1,0
40,0,68,12,0,0
30,0,40,5,0,0
50,0,57,13,0,0
40,1,52,13,1,0
70,0,67,12,1,0
100,1,61,11,1,0
80,1,26,12,1,0
50,1,30,14,0,0
50,0,28,16,0,0
30,1,49,14,0,0
50,1,63,13,0,0
40,0,19,12,0,0
70,1,65,15,0,0
40,1,67,16,0,0
60,0,36,12,0,0
0,1,28,12,1,0
30,1,30,11,0,0
15,0,22,12,0,1
50,1,49,14,0,0
50,1,20,12,0,0
70,0,65,10,0,0
40,1,48,10,0,0
50,1,42,16,0,0
60,1,20,13,1,0
60,1,64,13,1,0
40,1,23,16,1,0
50,0,18,12,0,1
30,0,54,12,0,0
50,1,32,15,0,0
50,0,30,12,0,0
70,0,36,12,1,0
75,0,29,12,0,0
85,0,34,16,1,0
50,0,43,12,1,0
85,1,51,14,1,0
60,0,58,17,1,0
50,0,45,15,0,0
60,1,18,13,1,0
70,0,38,12,0,0
30,1,42,16,0,1
30,1,20,12,0,1
50,1,36,14,0,0
70,1,21,14,1,0
50,1,63,12,0,0
50,1,18,11,0,0
70,1,40,12,0,0
85,1,55,12,0,0
100,1,69,10,1,0
85,0,60,12,1,0
60,1,31,12,0,0
40,1,49,15,0,1
85,1,55,11,1,0
70,1,58,15,1,0
0,0,41,17,0,1
50,1,62,17,0,1
50,1,57,13,0,1
60,0,87,12,1,0
85,0,59,12,1,0
85,1,29,17,0,1
40,0,53,17,0,1
85,1,40,12,1,0
30,1,40,9,0,0
40,0,41,14,0,1
85,0,88,11,1,0
85,0,44,16,1,0
60,1,54,13,0,0
60,1,52,14,1,0
85,1,49,14,0,0
60,1,68,17,0,0
85,1,75,9,1,0
50,0,58,12,1,0
50,0,48,15,0,0
75,1,81,12,0,1
50,1,85,17,0,1
30,0,57,15,0,1
50,1,64,15,1,0
85,0,47,11,1,0
50,1,25,12,1,0
40,0,37,16,0,1
50,0,45,16,0,0
70,1,53,12,1,0
60,1,39,16,0,1
100,1,54,14,1,0
70,1,83,16,1,0
0,1,90,16,0,1
60,1,91,12,1,0
60,0,36,16,0,0
50,0,32,14,0,0
75,0,62,13,1,0
85,1,38,14,1,0
0,0,77,16,0,1
60,1,58,16,0,0
30,0,45,13,1,0
70,0,31,16,1,0
70,0,63,17,0,0
70,1,63,14,0,0
100,1,56,14,1,0
60,0,49,12,0,0
40,1,49,17,0,0
0,1,51,16,0,1
65,0,80,16,0,0
70,0,81,15,1,0
70,1,42,14,1,0
85,0,56,17,1,0
100,1,32,12,1,0
30,0,36,16,0,1
70,1,62,13,1,0
0,0,50,17,0,1
80,1,28,17,1,0
70,1,32,14,1,0
80,1,39,17,0,1
30,1,36,12,0,1
100,0,37,12,0,0
50,0,76,16,0,1
80,0,60,17,0,0
30,0,67,12,0,0
40,0,69,17,0,1
85,1,26,17,1,0
60,0,55,14,1,0
70,0,57,12,0,0
60,0,48,15,1,0
50,1,49,15,0,1
100,1,78,17,1,0
15,1,81,16,0,1
50,0,50,16,0,1
85,1,49,12,1,0
30,0,32,12,0,1
30,1,31,14,0,0
100,1,51,12,1,0
0,0,53,15,0,1
30,1,55,15,0,1
85,1,45,14,1,0
70,1,64,12,1,0
70,1,69,14,0,0
50,1,38,13,1,0
40,0,78,12,0,1
60,1,44,14,1,0
70,0,70,13,0,0
8,1,52,12,1,0
50,1,45,14,0,1
70,1,57,16,0,0
30,1,47,15,0,1
60,1,57,13,1,0
50,0,39,16,0,1
50,0,24,16,1,0
85,1,37,16,1,0
50,1,79,14,0,0
85,1,67,12,1,0
50,1,46,11,0,0
40,1,81,11,0,1
60,1,53,16,1,0
85,1,31,12,1,0
60,1,52,14,0,1
50,1,41,14,0,0
100,0,35,14,1,0
40,0,78,17,0,1
15,0,32,14,0,1
0,1,48,14,0,1
60,1,68,8,0,1
60,0,47,13,0,1
85,0,25,13,1,0
70,1,59,12,0,0
60,0,66,13,0,1
50,1,56,12,1,0
40,0,50,12,0,1
60,1,34,16,0,1
50,1,40,14,0,1
50,1,91,13,0,1
100,1,46,16,1,0
70,1,43,17,1,0
100,0,48,16,1,0
40,0,47,17,0,1
30,0,47,16,0,1
40,1,40,16,0,1
100,1,28,17,1,0
50,1,59,12,0,0
50,0,50,14,0,1
60,1,36,12,0,1
90,1,58,17,1,0
50,1,35,17,0,1
100,1,52,9,0,0
100,0,55,15,1,0
50,0,46,16,0,1
70,0,51,16,0,0
70,1,28,15,0,0
60,0,71,16,0,0
60,0,64,8,0,1
90,1,76,17,1,0
100,0,59,16,1,0
100,1,65,14,1,0
100,1,76,10,1,0
60,1,58,17,1,0
60,1,56,15,0,0
70,1,46,14,0,0
85,1,64,15,1,0
60,1,51,17,1,0
60,1,50,14,0,0
0,0,64,12,0,1
85,1,48,16,1,0
60,1,42,16,0,1
70,1,32,12,0,0
85,1,53,14,1,0
60,1,56,16,0,0
70,0,51,16,1,0
0,0,51,16,0,0
100,1,32,16,1,0
85,1,66,17,1,0
100,1,39,17,1,0
60,1,62,16,1,0
85,1,38,16,1,0
100,0,45,12,1,0
50,0,34,12,0,0
40,0,63,12,0,1
85,1,50,16,1,0
60,0,23,16,0,0
85,0,50,17,1,0
40,0,41,12,0,0
70,0,53,16,1,0
50,1,57,17,0,1
85,1,46,17,1,0
40,1,64,12,0,0
75,1,66,11,1,0
85,0,42,17,1,0
30,0,55,14,0,0
0,1,31,16,0,1
85,1,76,17,1,0
75,1,67,16,0,1
85,1,67,8,1,0
85,1,57,15,1,0
60,0,60,17,0,1
85,0,48,14,1,0
85,1,65,16,1,0
85,0,64,17,1,0
50,0,42,15,0,1
70,1,48,12,1,0
85,1,68,15,1,0
60,0,33,16,0,0
60,1,47,13,1,0
40,0,70,17,0,1
85,1,54,14,1,0
85,1,59,5,1,0
70,0,86,16,1,0
85,1,29,12,1,0
100,1,71,16,1,0
100,1,37,17,1,0
15,1,39,13,0,0
50,1,53,12,0,0
85,0,34,17,0,0
70,0,25,17,0,1
100,1,56,12,1,0
85,0,61,16,1,0
70,1,32,14,1,0
85,1,55,16,1,0
50,1,69,12,0,0
50,1,84,15,0,0
85,1,41,13,1,0
75,1,24,14,0,0
70,1,69,13,1,0
85,1,30,17,1,0
0,0,46,13,0,1
75,0,55,12,1,0
85,1,59,17,0,0
60,1,41,14,0,1
85,0,79,12,1,0
50,0,46,13,0,0
70,1,45,12,1,0
60,1,60,16,0,0
80,0,25,13,0,0
30,1,73,16,0,1
70,1,55,16,0,0
50,1,79,13,0,0
60,0,43,14,1,0
50,1,28,12,0,1
15,1,52,12,0,1
50,1,38,16,0,0
50,1,33,12,0,0
85,0,37,16,1,0
85,0,33,16,0,0
60,1,54,12,0,0
40,0,57,14,0,1
70,0,51,12,1,0
30,1,60,12,0,1
70,0,46,14,1,0
30,1,32,17,1,0
5,0,51,16,0,1
40,1,44,17,0,1
100,1,63,11,1,0
50,1,48,15,0,1
70,0,44,14,0,1
30,1,61,17,0,1
40,1,47,13,0,1
70,1,28,15,1,0
70,1,42,16,1,0
85,1,41,12,1,0
70,0,57,17,0,1
85,1,24,14,0,0
60,0,33,14,0,0
90,0,48,12,1,0
85,0,27,17,0,0
15,1,48,14,1,0
40,0,49,12,0,1
50,1,54,14,0,1
60,0,35,14,0,1
90,0,71,11,1,0
90,0,59,17,1,0
40,1,64,9,0,1
70,0,55,17,1,0
70,1,28,14,0,1
15,1,36,14,0,0
50,0,68,5,0,0
70,0,37,14,0,0
40,1,41,16,0,1
70,0,35,14,0,0
100,0,31,14,1,0
60,0,72,16,0,1
85,0,50,12,1,0
0,0,58,14,0,1
85,0,61,12,0,0
60,0,48,13,1,0
50,0,59,17,1,0
60,1,31,14,1,0
15,0,78,17,0,0
70,0,43,12,1,0
60,0,71,17,0,1
100,0,82,12,1,0
85,1,66,17,1,0
100,0,49,16,1,0
15,0,31,16,0,1
40,1,40,17,0,1
50,0,93,12,0,1
0,1,23,12,0,0
40,0,37,12,0,0
30,1,47,14,0,0
15,0,60,14,0,1
70,0,25,14,0,0
85,1,51,16,1,0
70,1,48,13,1,0
15,0,69,16,0,1
70,1,29,16,1,0
60,0,46,12,0,0
85,0,32,14,0,0
0,1,57,14,0,1
15,0,44,16,0,1
30,1,42,17,0,1
40,0,64,17,1,0
85,0,88,13,1,0
70,0,54,9,1,0
70,1,56,12,1,0
40,0,26,14,0,0
100,1,47,14,1,0
50,1,53,12,0,1
85,1,66,17,0,0
70,0,42,12,1,0
50,1,48,14,0,1
100,1,52,12,1,0
40,0,31,16,0,1
85,1,62,11,0,0
85,0,79,17,0,0
70,1,66,10,1,0
50,1,26,16,0,1
60,1,28,17,1,0
100,0,55,12,1,0
15,0,75,13,0,1
50,1,69,13,0,1
70,0,45,16,0,0
30,1,44,17,0,0
85,1,55,12,1,0
0,0,70,12,0,1
85,1,54,13,0,0
85,1,61,13,1,0
85,0,68,12,1,0
70,1,40,16,1,0
85,1,41,10,1,0
60,0,43,16,1,0
30,0,59,16,0,1
50,1,82,13,0,1
70,1,51,17,1,0
70,0,51,6,1,0
70,1,33,13,1,0
